system_number,accession_number,LocationString,Room
57591,1988.35.1.1-.5,"Art Gallery (OYAG), OYAG, 334 AD-Cont",334
59173,1986.49.1.1-.4,"Art Gallery (OYAG), OYAG, 334 AD-Cont",334
151870,2010.82.1.1-.5,"Art Gallery (OYAG), OYAG, 334 AD-Cont",334
74246,1985.101.1.1-.3,"Art Gallery (Street Hall), ST, 151 AD-Silver, Case 1",151
324257,2023.36.19,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324253,2023.36.17,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324240,2023.36.7,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324239,2023.36.6,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324238,2023.36.5,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324237,2023.36.4,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324234,2023.36.1,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324254,2023.36.18,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324248,2023.36.14,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
324247,2023.36.13,"Art Gallery (Kahn), Kahn, 090 Sub Lobby",90
289601,2023.13.1,"Art Gallery (Kahn), Kahn, 100 Lobby",100
84214,2006.52.57,"Art Gallery (Kahn), Kahn, 100 Lobby",100
84216,2006.52.58,"Art Gallery (Kahn), Kahn, 100 Lobby",100
84425,2006.51.227,"Art Gallery (Kahn), Kahn, 103",103
14296,1974.127,"Art Gallery (Kahn), Kahn, 103",103
84411,2006.51.213,"Art Gallery (Kahn), Kahn, 103",103
10891,1955.61.19,"Art Gallery (Kahn), Kahn, 103",103
84426,2006.51.228,"Art Gallery (Kahn), Kahn, 103",103
85829,2006.51.572,"Art Gallery (Kahn), Kahn, 103",103
84264,2006.51.63,"Art Gallery (Kahn), Kahn, 103",103
84044,2006.51.46,"Art Gallery (Kahn), Kahn, 103",103
60288,1993.101.7,"Art Gallery (Kahn), Kahn, 103",103
14942,1954.28.1,"Art Gallery (Kahn), Kahn, 103",103
84270,2006.51.73,"Art Gallery (Kahn), Kahn, 103",103
15261,1975.126.1,"Art Gallery (Kahn), Kahn, 103",103
213102,2016.45.1,"Art Gallery (Kahn), Kahn, 103",103
84279,2006.51.82,"Art Gallery (Kahn), Kahn, 103",103
84704,2006.51.528,"Art Gallery (Kahn), Kahn, 103",103
26064,1982.71,"Art Gallery (Kahn), Kahn, 103",103
84658,2006.51.479,"Art Gallery (Kahn), Kahn, 103",103
84487,2006.51.309,"Art Gallery (Kahn), Kahn, 103",103
84626,2006.51.447,"Art Gallery (Kahn), Kahn, 103",103
84347,2006.51.151,"Art Gallery (Kahn), Kahn, 103",103
85186,ILE2002.2,"Art Gallery (Kahn), Kahn, 103",103
84713,2006.51.537,"Art Gallery (Kahn), Kahn, 103",103
84295,2006.51.99,"Art Gallery (Kahn), Kahn, 103",103
84290,2006.51.93,"Art Gallery (Kahn), Kahn, 103",103
84710,2006.51.534,"Art Gallery (Kahn), Kahn, 103",103
15275,1975.126.3,"Art Gallery (Kahn), Kahn, 103",103
84364,2006.51.166,"Art Gallery (Kahn), Kahn, 103",103
84616,2006.51.437,"Art Gallery (Kahn), Kahn, 103",103
84276,2006.51.79,"Art Gallery (Kahn), Kahn, 103",103
84607,2006.51.429,"Art Gallery (Kahn), Kahn, 103",103
15106,1954.28.27,"Art Gallery (Kahn), Kahn, 103",103
84357,2006.51.161,"Art Gallery (Kahn), Kahn, 103",103
84333,2006.51.137,"Art Gallery (Kahn), Kahn, 103",103
84717,2006.51.541,"Art Gallery (Kahn), Kahn, 103",103
84323,2006.51.127,"Art Gallery (Kahn), Kahn, 103",103
9763,1973.35,"Art Gallery (Kahn), Kahn, 103",103
84287,2006.51.90,"Art Gallery (Kahn), Kahn, 103",103
84303,2006.51.107,"Art Gallery (Kahn), Kahn, 103",103
84371,2006.51.173,"Art Gallery (Kahn), Kahn, 103",103
84468,2006.51.290,"Art Gallery (Kahn), Kahn, 103",103
84529,2006.51.350,"Art Gallery (Kahn), Kahn, 103",103
84399,2006.51.201,"Art Gallery (Kahn), Kahn, 103",103
142742,2010.3.1,"Art Gallery (Kahn), Kahn, 103",103
84275,2006.51.78,"Art Gallery (Kahn), Kahn, 103",103
84397,2006.51.199,"Art Gallery (Kahn), Kahn, 103",103
84747,2006.51.565,"Art Gallery (Kahn), Kahn, 103",103
84338,2006.51.142,"Art Gallery (Kahn), Kahn, 103",103
84326,2006.51.130,"Art Gallery (Kahn), Kahn, 103",103
100469,2004.60.1,"Art Gallery (Kahn), Kahn, 103",103
84355,2006.51.159,"Art Gallery (Kahn), Kahn, 103",103
84009,2006.51.11,"Art Gallery (Kahn), Kahn, 103",103
134628,2009.85.3,"Art Gallery (Kahn), Kahn, 103",103
84012,2006.51.14,"Art Gallery (Kahn), Kahn, 103",103
15111,1954.28.28,"Art Gallery (Kahn), Kahn, 103",103
7489,1964.76.23,"Art Gallery (Kahn), Kahn, 103",103
7510,1964.76.26,"Art Gallery (Kahn), Kahn, 103",103
84664,2006.51.485,"Art Gallery (Kahn), Kahn, 103",103
84436,2006.51.238,"Art Gallery (Kahn), Kahn, 103",103
84396,2006.51.198,"Art Gallery (Kahn), Kahn, 103",103
10884,1955.61.16,"Art Gallery (Kahn), Kahn, 103",103
84392,2006.51.194,"Art Gallery (Kahn), Kahn, 103",103
166154,2011.51.1,"Art Gallery (Kahn), Kahn, 103",103
15020,1954.28.13,"Art Gallery (Kahn), Kahn, 103",103
84705,2006.51.529,"Art Gallery (Kahn), Kahn, 103",103
84435,2006.51.237,"Art Gallery (Kahn), Kahn, 103",103
84286,2006.51.89,"Art Gallery (Kahn), Kahn, 103",103
15135,1954.28.33,"Art Gallery (Kahn), Kahn, 103",103
10855,1955.61.10,"Art Gallery (Kahn), Kahn, 103",103
84344,2006.51.148,"Art Gallery (Kahn), Kahn, 103",103
84341,2006.51.145,"Art Gallery (Kahn), Kahn, 103",103
166155,2011.51.2,"Art Gallery (Kahn), Kahn, 103",103
84025,2006.51.27,"Art Gallery (Kahn), Kahn, 103",103
7485,1964.76.22,"Art Gallery (Kahn), Kahn, 103",103
84034,2006.51.36,"Art Gallery (Kahn), Kahn, 103",103
7480,1964.76.21,"Art Gallery (Kahn), Kahn, 103",103
84050,2006.51.52,"Art Gallery (Kahn), Kahn, 103",103
84033,2006.51.35,"Art Gallery (Kahn), Kahn, 103",103
84013,2006.51.15,"Art Gallery (Kahn), Kahn, 103",103
84377,2006.51.179,"Art Gallery (Kahn), Kahn, 103",103
84610,2006.51.431,"Art Gallery (Kahn), Kahn, 103",103
84332,2006.51.136,"Art Gallery (Kahn), Kahn, 103",103
24754,1980.13.23,"Art Gallery (Kahn), Kahn, 103",103
84369,2006.51.171,"Art Gallery (Kahn), Kahn, 103",103
84712,2006.51.536,"Art Gallery (Kahn), Kahn, 103",103
24760,1980.13.24,"Art Gallery (Kahn), Kahn, 103",103
84273,2006.51.76,"Art Gallery (Kahn), Kahn, 103",103
84412,2006.51.214,"Art Gallery (Kahn), Kahn, 103",103
84423,2006.51.225,"Art Gallery (Kahn), Kahn, 103",103
15092,1954.28.25,"Art Gallery (Kahn), Kahn, 103",103
15095,1954.28.26,"Art Gallery (Kahn), Kahn, 103",103
15144,1954.28.35,"Art Gallery (Kahn), Kahn, 103",103
84337,2006.51.141,"Art Gallery (Kahn), Kahn, 103",103
84374,2006.51.176,"Art Gallery (Kahn), Kahn, 103",103
84701,2006.51.525,"Art Gallery (Kahn), Kahn, 103",103
84730,2006.51.554,"Art Gallery (Kahn), Kahn, 103",103
84737,2006.51.561,"Art Gallery (Kahn), Kahn, 103",103
166156,2011.51.3,"Art Gallery (Kahn), Kahn, 103",103
10540,1959.72.13,"Art Gallery (Kahn), Kahn, 103",103
84271,2006.51.74,"Art Gallery (Kahn), Kahn, 103",103
84390,2006.51.192,"Art Gallery (Kahn), Kahn, 103",103
84263,2006.51.62,"Art Gallery (Kahn), Kahn, 103",103
10484,1959.72.7,"Art Gallery (Kahn), Kahn, 103",103
145091,2010.6.36,"Art Gallery (Kahn), Kahn, 103",103
145085,2010.6.30,"Art Gallery (Kahn), Kahn, 103",103
84486,2006.51.308,"Art Gallery (Kahn), Kahn, 103",103
84305,2006.51.109,"Art Gallery (Kahn), Kahn, 103",103
84414,2006.51.216,"Art Gallery (Kahn), Kahn, 103",103
84307,2006.51.111,"Art Gallery (Kahn), Kahn, 103",103
145090,2010.6.35,"Art Gallery (Kahn), Kahn, 103",103
84010,2006.51.12,"Art Gallery (Kahn), Kahn, 103",103
84418,2006.51.220,"Art Gallery (Kahn), Kahn, 103",103
84299,2006.51.103,"Art Gallery (Kahn), Kahn, 103",103
84459,2006.51.260,"Art Gallery (Kahn), Kahn, 103",103
84420,2006.51.222,"Art Gallery (Kahn), Kahn, 103",103
145176,2010.6.115,"Art Gallery (Kahn), Kahn, 103",103
162422,ILE2011.9.38,"Art Gallery (Kahn), Kahn, 103",103
145253,2010.6.190,"Art Gallery (Kahn), Kahn, 103",103
145216,2010.6.154,"Art Gallery (Kahn), Kahn, 103",103
145217,2010.6.155,"Art Gallery (Kahn), Kahn, 103",103
